id,x,y,z,result
63946,0.438994516,0.727280286,0.321017167,16.53841645
96706,0.249578357,0.008686537,0.310471013,12.35591434
89757,0.752992125,0.516220883,0.139704505,1.705615932
73846,0.718125131,0.114311376,0.687055084,0.542677184
34414,0.350432344,0.144629195,0.709934913,3.658828294
55135,0.68433718,0.882300199,0.01106256,2.297837769
37228,0.041869542,0.842457655,0.044164537,9.133699243
85588,0.226148358,0.102413449,0.73558297,2.938817306
41022,0.514306435,0.340812918,0.565038137,3.147114471
74168,0.870297624,0.128377265,0.563780894,0.769532606
47965,0.383562819,0.294996274,0.301992498,297.4492548
63243,0.371719793,0.357088137,0.266708982,0.886605297
79912,0.888783077,0.201280979,0.837235214,0.479547722
8344,0.24964139,0.897876668,0.542111972,219.7531481
10396,0.329044002,0.581040389,0.458825409,0.970518447
75213,0.846654801,0.00995489,0.138715541,0.203353308
4989,0.08045704,0.034210964,0.046559598,0.066094132
15954,0.750425311,0.415921516,0.53039887,19.45814015
32048,0.542686584,0.836297907,0.045143333,1.249483974
3815,0.146622797,0.217632365,0.504059374,1.981293577
58836,0.243824453,0.216946659,0.199198928,0.220653149
9541,0.011094987,0.031511944,0.072599181,26.10736553
12927,0.922947072,0.911483896,0.97301471,0.678714722
77756,0.60945878,0.367175408,0.274910645,13.6913023
51019,0.900344816,0.405741081,0.653118026,4.509450577
33655,0.668665522,0.872739631,0.395352004,5.555083338
91321,0.798936028,0.056209549,0.252185742,34.69691704
59866,0.277297892,0.392696558,0.552782045,13.95147547
67660,0.939892833,0.089447666,0.393214595,0.044173827
2983,0.703503552,0.838693156,0.272139605,1.067901208
17380,0.934087222,0.9328527,0.007162315,0.298928498
50718,0.774249882,0.494695817,0.194080978,0.128936927
75658,0.301003776,0.154488082,0.517890862,0.455798463
94171,0.809345758,0.510351045,0.399737095,0.106961296
17614,0.971660934,0.921477458,0.1705845,8.974623682
95032,0.126854983,0.586615703,0.811742381,15.56794996
52510,0.311814928,0.290483693,0.653394111,3.660903716
7326,0.62952194,0.921864315,0.677680366,46.97319866
72655,0.12912538,0.288530148,0.068159645,1.057411814
83415,0.076590379,0.942405479,0.802172018,2.627105504
82648,0.709910179,0.108615083,0.619354224,1.246697325
82770,0.231486797,0.217157361,0.846116963,0.994398346
48896,0.032689706,0.178022102,0.370410746,0.471407073
9021,0.975220858,0.473103756,0.283159699,7.070931523
13949,0.743761486,0.948728643,0.739872108,0.233771915
30113,0.133131687,0.186034625,0.313172413,0.368625835
30254,0.368869022,0.885403519,0.129580724,0.888810165
4805,0.346392292,0.385812791,0.528403842,3.157553551
71034,0.737619732,0.803364779,0.688323682,4.080088637
14104,0.332344119,0.879673817,0.723102652,0.289440386
67422,0.549973851,0.836702233,0.616399615,27.07596877
51426,0.394064128,0.350529401,0.841151261,14.26066185
41267,0.79758438,0.386234211,0.443668197,0.125233852
88438,0.301147577,0.963470522,0.093084465,0.448931827
54596,0.454738229,0.025803527,0.437060109,0.89843834
17737,0.185066193,0.70020009,0.864643778,5.325618139
92367,0.8435111,0.062260846,0.263197831,6.199841124
40478,0.152007967,0.853474482,0.120113208,3.602844615
44189,0.463026786,0.488931792,0.896198871,14.78678024
57026,0.485383323,0.786766212,0.076903446,4.18100853
71063,0.372206062,0.871576778,0.172192745,27.70955386
72993,0.436669513,0.464175029,0.127700912,0.137342894
27753,0.025253016,0.303177956,0.170922679,4.317296399
59090,0.875508879,0.94393169,0.22211728,31883.94635
30211,0.713297576,0.846305105,0.68711023,5.526542824
44808,0.944835538,0.694315674,0.899311327,2.732597556
7055,0.744186214,0.15142327,0.240039444,0.155161427
58860,0.462742293,0.515282335,0.90622552,1.000350742
6176,0.155778895,0.201177058,0.520241858,0.198650321
94938,0.74838251,0.517886841,0.196819971,77.71149634
7855,0.125493808,0.685781217,0.365187789,0.004045422
17129,0.932258738,0.43931493,0.822508563,4.772813379
2661,0.519567142,0.656270378,0.995840102,0.923101991
38590,0.757669014,0.472243932,0.487652047,14.68139318
57721,0.259068587,0.266475399,0.934814893,3.529108426
53286,0.438297199,0.242912283,0.11960736,0.081030551
25334,0.103487303,0.234288386,0.51800432,3.974729678
32705,0.38541386,0.686943762,0.381243674,1.961332034
60691,0.483057947,0.616504245,0.051520805,0.835903082
80398,0.607434538,0.684733256,0.047958807,0.886786133
48102,0.679303855,0.486846845,0.79527616,1.178711925
52511,0.910384965,0.800428022,0.408761624,45.35028325
19309,0.987695975,0.44387233,0.228016531,18.94130793
17990,0.390932457,0.812488149,0.958331636,9.887541045
934,0.691450169,0.682440517,0.850099878,2.672970545
14237,0.847239168,0.836668025,0.284016048,3.75052987
47002,0.34241793,0.465214114,0.549360716,6.598138817
71711,0.504311119,0.311796628,0.037959632,0.514761695
19271,0.428684505,0.430689797,0.134178236,1.641202957
44386,0.576013301,0.950923409,0.756218329,0.556043822
47639,0.822573241,0.353119891,0.114558521,1.070879375
71068,0.664301632,0.467368961,0.42726869,0.51947609
7635,0.474529372,0.150251643,0.485667502,0.933170608
87214,0.065139399,0.67512485,0.842828187,0.040660724
79688,0.955900568,0.378731327,0.842300496,0.193641517
38342,0.602523139,0.498657688,0.14157003,0.485207087
50052,0.760639055,0.451152766,0.073462489,5.976326372
23864,0.541398585,0.874025257,0.98696584,9.938098856
4653,0.232837347,0.012495518,0.940410746,0.814941158
64158,0.454808652,0.072628152,0.468737286,0.054582459
82946,0.926387828,0.416112675,0.971372671,3.560614959
806,0.590671698,0.891494828,0.014015076,112.9732055
7619,0.889698101,0.843507383,0.383544116,2.089120707
60981,0.233610935,0.445927761,0.0393128,2.416667663
37776,0.617664061,0.864171519,0.644750525,4.738211368
53335,0.436822165,0.939152715,0.465213106,2.003469385
66524,0.805890533,0.273429418,0.719135876,38.07209024
37367,0.016533294,0.393962598,0.956801427,5.197042744
43872,0.701937999,0.940673006,0.73707412,1.553960262
74955,0.207825817,0.901407391,0.09888795,11.15572152
78493,0.978319969,0.110643697,0.110351406,194.4146682
82680,0.001752731,0.4291744,0.461160291,0.612179476
13100,0.399225491,0.760886599,0.077112595,1.497574278
71268,0.247643529,0.617251187,0.720919261,1.686948612
51394,0.759182605,0.03719475,0.545779894,110.632374
50667,0.871671009,0.38896674,0.158228192,1.696194022
27897,0.068856027,0.591567165,0.124369536,3.846237938
41945,0.503519664,0.725897112,0.515071451,0.122402431
46279,0.564924774,0.871201842,0.848114922,2.712186082
52513,0.595994016,0.060962591,0.070113497,0.851676722
73498,0.547904487,0.860657407,0.236057245,14.73865638
65549,0.192400795,0.551167244,0.27922681,1.195450442
30864,0.979964879,0.3705345,0.720981259,0.203715195
74386,0.977302451,0.942003021,0.635066768,2.090624043
60693,0.595954785,0.84703605,0.253389336,3.014885035
52001,0.381784808,0.984643976,0.211631041,0.822063863
64608,0.17330537,0.031284924,0.524879628,7.669249814
99413,0.732401233,0.161307526,0.933139626,1.445357565
8850,0.247975665,0.315020554,0.370435849,13.87594973
39380,0.744658243,0.048753647,0.918414484,0.441293396
36788,0.912733282,0.731324258,0.958085815,0.328364554
54790,0.043740096,0.371059386,0.299010806,0.032674955
95092,0.831327985,0.69708645,0.388713668,7.527021646
